N  np  isd iz0    thetainf           qinf
1 5001  0   0   9.66766111e-01   1.05470546e-01
        s0            us, m/s            q_s            theta_s        rho_w, kg/m^3      nu, m^2/s
  1.00000000e-09   4.00000000e+00   4.00000000e-04   2.00000000e-01   1.02000000e+03   1.56800000e-05
      pi0              pi1              pi2              pi3              pi5              pi6
  2.50000000e+00   8.27261483e-02   6.83211225e-01   2.70483712e-05   2.30952591e-05   6.34729156e+00
      pi7              pi8              pi9              pi12             pi13             pi17
  1.32279714e+00   5.69105691e-04   1.33151534e-02   2.65503332e-06   3.06250000e+00   2.70126199e-02
     zwt, m            z0, m           z_q, m            z1, m            h, m           g, m/s^2
  5.00000000e+00   2.44897959e-02   2.90364307e-07   9.79591837e-02   1.00000000e+00   9.80000000e+00
      Ceps1            Ceps2            Ceps3             alp              alpe            alpeps
  1.44000000e+00   1.92000000e+00   1.00000000e+00   3.00000000e-01   1.00000000e+00   7.70000000e-01
      alpv              alpT            sig0t             Cb               kp              u1log
  1.00000000e+00   1.00000000e+00   6.70000000e-01   1.80000000e+00   4.32449982e-01   3.20567561e+00
    Rd, J/kg/K       Rv, J/kg/K       cw, J/kg/K      cpd, J/kg/K          kd              sigma
  2.87000000e+02   4.61510000e+02   4.21800000e+03   1.00500000e+03   2.85714286e-01   8.66949654e+02
      T0, K            P0, Pa       rho_d0, kg/m^3     D0, m^2/s       K0, J/m/s/K        pvs0, Pa
  3.00000000e+02   1.01300000e+05   1.17653891e+00   2.59664363e-05   2.62160000e-02   3.56710931e+03
        q0            l0, J/kg         Rmin, m          Rmax, m           r0, m           a0, m/s
  2.18981665e-02   2.45000000e+06   6.00000000e-05   6.00000000e-05   6.00000000e-05   3.30904593e-01
        z               ua               Sz2               ea               Sz4             epsl             Sz6
  1.95918367e-02   3.20567561e+00   9.99999690e-01   3.33333333e+00  -3.79118303e-02   1.18029064e+02  -4.05753241e+01
  5.95879184e-02   5.76393167e+00   9.99999507e-01   3.28712997e+00  -7.64923321e-03   3.82325827e+01  -1.28856808e+01
  9.95840000e-02   6.94763137e+00   9.99999412e-01   3.28006711e+00  -4.70984987e-03   2.27828290e+01  -7.66824724e+00
  1.39580082e-01   7.72510806e+00   9.99999346e-01   3.27680287e+00  -3.76799324e-03   1.62190840e+01  -5.45845029e+00
  1.79576163e-01   8.30479777e+00   9.99999297e-01   3.27475931e+00  -3.30762906e-03   1.25893190e+01  -4.23751130e+00
  2.19572245e-01   8.76719122e+00   9.99999257e-01   3.27329779e+00  -3.02189389e-03   1.02846067e+01  -3.46252785e+00
  2.59568327e-01   9.15175537e+00   9.99999224e-01   3.27217600e+00  -2.81563265e-03   8.69277011e+00  -2.92732175e+00
  2.99564408e-01   9.48095135e+00   9.99999196e-01   3.27127644e+00  -2.65059604e-03   7.52699951e+00  -2.53537977e+00
  3.39560490e-01   9.76871220e+00   9.99999171e-01   3.27053408e+00  -2.50918916e-03   6.63668874e+00  -2.23604682e+00
  3.79556571e-01   1.00243140e+01   9.99999149e-01   3.26990886e+00  -2.38224756e-03   5.93425625e+00  -1.99987338e+00
  4.19552653e-01   1.02541918e+01   9.99999130e-01   3.26937469e+00  -2.26471664e-03   5.36629064e+00  -1.80890278e+00
  4.59548735e-01   1.04630744e+01   9.99999112e-01   3.26891315e+00  -2.15348473e-03   4.89724953e+00  -1.65118675e+00
  4.99544816e-01   1.06544546e+01   9.99999097e-01   3.26851115e+00  -2.04666580e-03   4.50353127e+00  -1.51879168e+00
  5.39540898e-01   1.08310374e+01   9.99999083e-01   3.26815882e+00  -1.94299543e-03   4.16833604e+00  -1.40607045e+00
  5.79536980e-01   1.09949482e+01   9.99999072e-01   3.26784858e+00  -1.84161837e-03   3.87947695e+00  -1.30892661e+00
  6.19533061e-01   1.11478770e+01   9.99999065e-01   3.26757449e+00  -1.74194631e-03   3.62800458e+00  -1.22435190e+00
  6.59529143e-01   1.12912027e+01   9.99999063e-01   3.26733182e+00  -1.64355455e-03   3.40708684e+00  -1.15004978e+00
  6.99525224e-01   1.14260537e+01   9.99999068e-01   3.26711670e+00  -1.54613769e-03   3.21150542e+00  -1.08426612e+00
  7.39521306e-01   1.15533791e+01   9.99999083e-01   3.26692594e+00  -1.44946549e-03   3.03710724e+00  -1.02560484e+00
  7.79517388e-01   1.16739709e+01   9.99999108e-01   3.26675689e+00  -1.35337034e-03   2.88063717e+00  -9.72971698e-01
  8.19513469e-01   1.17885021e+01   9.99999144e-01   3.26660733e+00  -1.25772348e-03   2.73947801e+00  -9.25486866e-01
  8.59509551e-01   1.18975523e+01   9.99999190e-01   3.26647533e+00  -1.16242339e-03   2.61148284e+00  -8.82428599e-01
  8.99505633e-01   1.20016216e+01   9.99999246e-01   3.26635926e+00  -1.06739018e-03   2.49488663e+00  -8.43203508e-01
  9.39501714e-01   1.21011425e+01   9.99999309e-01   3.26625772e+00  -9.72559897e-04   2.38823910e+00  -8.07324012e-01
